Country_Name,Country_Code,Indicator_Name,Indicator_Code,2011
Algeria,DZA,"ATM is main mode of deposit, rural (% with an account, age 15+)",WP11631.1.10,0
Algeria,DZA,"ATM is main mode of deposit, secondary education or more (% with an account, age 15+)",WP11631.1.7,3.094354
Algeria,DZA,"ATM is main mode of deposit, urban (% with an account, age 15+)",WP11631.1.11,2.471442
Algeria,DZA,"ATM is main mode of deposit, young adults (% with an account, age 15-24)",WP11631.1.4,3.379338
Algeria,DZA,"ATM is main mode of withdrawal  (% with an account, age 15+)",WP11630.1.1,14.16798
Algeria,DZA,"ATM is main mode of withdrawal, female (% with an account, age 15+)",WP11630.1.3,15.82116
Algeria,DZA,"ATM is main mode of withdrawal, income, bottom 40% (% with an account, age 15+)",WP11630.1.8,3.976729
Algeria,DZA,"ATM is main mode of withdrawal, income, top 60% (% with an account, age 15+)",WP11630.1.9,19.52308
Algeria,DZA,"ATM is main mode of withdrawal, male (% with an account, age 15+)",WP11630.1.2,13.43871
Algeria,DZA,"ATM is main mode of withdrawal, older adults (% with an account, age 25+)",WP11630.1.5,13.8849
Algeria,DZA,"ATM is main mode of withdrawal, primary education or less (% with an account, age 15+)",WP11630.1.6,13.35967
Algeria,DZA,"ATM is main mode of withdrawal, rural (% with an account, age 15+)",WP11630.1.10,22.93018
Algeria,DZA,"ATM is main mode of withdrawal, secondary education or more (% with an account, age 15+)",WP11630.1.7,15.4795
Algeria,DZA,"ATM is main mode of withdrawal, urban (% with an account, age 15+)",WP11630.1.11,12.64493
Algeria,DZA,"ATM is main mode of withdrawal, young adults (% with an account, age 15-24)",WP11630.1.4,15.26425
Angola,AGO,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,7.890351
Angola,AGO,"ATM is main mode of deposit, female (% with an account, age 15+)",WP11631.1.3,8.364124
Angola,AGO,"ATM is main mode of deposit, income, bottom 40% (% with an account, age 15+)",WP11631.1.8,7.226578
Angola,AGO,"ATM is main mode of deposit, income, top 60% (% with an account, age 15+)",WP11631.1.9,8.27487
Angola,AGO,"ATM is main mode of deposit, male (% with an account, age 15+)",WP11631.1.2,7.402963
Angola,AGO,"ATM is main mode of deposit, older adults (% with an account, age 25+)",WP11631.1.5,6.516066
Angola,AGO,"ATM is main mode of deposit, primary education or less (% with an account, age 15+)",WP11631.1.6,5.203803
Angola,AGO,"ATM is main mode of deposit, rural (% with an account, age 15+)",WP11631.1.10,9.310656
Angola,AGO,"ATM is main mode of deposit, secondary education or more (% with an account, age 15+)",WP11631.1.7,10.19424
Angola,AGO,"ATM is main mode of deposit, urban (% with an account, age 15+)",WP11631.1.11,5.206122
Angola,AGO,"ATM is main mode of deposit, young adults (% with an account, age 15-24)",WP11631.1.4,11.25935
Angola,AGO,"ATM is main mode of withdrawal  (% with an account, age 15+)",WP11630.1.1,49.00656
Angola,AGO,"ATM is main mode of withdrawal, female (% with an account, age 15+)",WP11630.1.3,47.45914
Angola,AGO,"ATM is main mode of withdrawal, income, bottom 40% (% with an account, age 15+)",WP11630.1.8,49.92878
Angola,AGO,"ATM is main mode of withdrawal, income, top 60% (% with an account, age 15+)",WP11630.1.9,48.46759
Angola,AGO,"ATM is main mode of withdrawal, male (% with an account, age 15+)",WP11630.1.2,50.58606
Angola,AGO,"ATM is main mode of withdrawal, older adults (% with an account, age 25+)",WP11630.1.5,45.74917
Angola,AGO,"ATM is main mode of withdrawal, primary education or less (% with an account, age 15+)",WP11630.1.6,48.34255
Angola,AGO,"ATM is main mode of withdrawal, rural (% with an account, age 15+)",WP11630.1.10,54.76759
Angola,AGO,"ATM is main mode of withdrawal, secondary education or more (% with an account, age 15+)",WP11630.1.7,50.78109
Angola,AGO,"ATM is main mode of withdrawal, urban (% with an account, age 15+)",WP11630.1.11,38.10372
Angola,AGO,"ATM is main mode of withdrawal, young adults (% with an account, age 15-24)",WP11630.1.4,57.61327
Argentina,ARG,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,19.95022
Argentina,ARG,"ATM is main mode of deposit, female (% with an account, age 15+)",WP11631.1.3,19.73518
Argentina,ARG,"ATM is main mode of deposit, income, bottom 40% (% with an account, age 15+)",WP11631.1.8,5.598487
Argentina,ARG,"ATM is main mode of deposit, income, top 60% (% with an account, age 15+)",WP11631.1.9,26.48043
Argentina,ARG,"ATM is main mode of deposit, male (% with an account, age 15+)",WP11631.1.2,20.18176
Argentina,ARG,"ATM is main mode of deposit, older adults (% with an account, age 25+)",WP11631.1.5,20.057
Argentina,ARG,"ATM is main mode of deposit, primary education or less (% with an account, age 15+)",WP11631.1.6,7.173603
Argentina,ARG,"ATM is main mode of deposit, rural (% with an account, age 15+)",WP11631.1.10,24.86286
Argentina,ARG,"ATM is main mode of deposit, secondary education or more (% with an account, age 15+)",WP11631.1.7,27.51248
Argentina,ARG,"ATM is main mode of deposit, urban (% with an account, age 15+)",WP11631.1.11,18.35176
Argentina,ARG,"ATM is main mode of deposit, young adults (% with an account, age 15-24)",WP11631.1.4,19.09045
Argentina,ARG,"ATM is main mode of withdrawal  (% with an account, age 15+)",WP11630.1.1,80.29336
Argentina,ARG,"ATM is main mode of withdrawal, female (% with an account, age 15+)",WP11630.1.3,80.93309
Argentina,ARG,"ATM is main mode of withdrawal, income, bottom 40% (% with an account, age 15+)",WP11630.1.8,72.55762
Argentina,ARG,"ATM is main mode of withdrawal, income, top 60% (% with an account, age 15+)",WP11630.1.9,83.60292
Argentina,ARG,"ATM is main mode of withdrawal, male (% with an account, age 15+)",WP11630.1.2,79.62813
Argentina,ARG,"ATM is main mode of withdrawal, older adults (% with an account, age 25+)",WP11630.1.5,79.14275
Argentina,ARG,"ATM is main mode of withdrawal, primary education or less (% with an account, age 15+)",WP11630.1.6,67.4503
Argentina,ARG,"ATM is main mode of withdrawal, rural (% with an account, age 15+)",WP11630.1.10,57.95614
Argentina,ARG,"ATM is main mode of withdrawal, secondary education or more (% with an account, age 15+)",WP11630.1.7,87.86637
Argentina,ARG,"ATM is main mode of withdrawal, urban (% with an account, age 15+)",WP11630.1.11,85.48447
Argentina,ARG,"ATM is main mode of withdrawal, young adults (% with an account, age 15-24)",WP11630.1.4,89.86599
Armenia,ARM,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,12.38381
Armenia,ARM,"ATM is main mode of deposit, female (% with an account, age 15+)",WP11631.1.3,12.55821
Armenia,ARM,"ATM is main mode of deposit, income, bottom 40% (% with an account, age 15+)",WP11631.1.8,11.34522
Armenia,ARM,"ATM is main mode of deposit, income, top 60% (% with an account, age 15+)",WP11631.1.9,12.91634
Armenia,ARM,"ATM is main mode of deposit, male (% with an account, age 15+)",WP11631.1.2,12.16018
Armenia,ARM,"ATM is main mode of deposit, older adults (% with an account, age 25+)",WP11631.1.5,11.40717
Armenia,ARM,"ATM is main mode of deposit, primary education or less (% with an account, age 15+)",WP11631.1.6,25.87871
Armenia,ARM,"ATM is main mode of deposit, rural (% with an account, age 15+)",WP11631.1.10,18.21495
Armenia,ARM,"ATM is main mode of deposit, secondary education or more (% with an account, age 15+)",WP11631.1.7,11.04274
Armenia,ARM,"ATM is main mode of deposit, urban (% with an account, age 15+)",WP11631.1.11,5.975798
Armenia,ARM,"ATM is main mode of deposit, young adults (% with an account, age 15-24)",WP11631.1.4,16.39195
Armenia,ARM,"ATM is main mode of withdrawal  (% with an account, age 15+)",WP11630.1.1,55.37634
Armenia,ARM,"ATM is main mode of withdrawal, female (% with an account, age 15+)",WP11630.1.3,50.41946
Armenia,ARM,"ATM is main mode of withdrawal, income, bottom 40% (% with an account, age 15+)",WP11630.1.8,54.45524
Armenia,ARM,"ATM is main mode of withdrawal, income, top 60% (% with an account, age 15+)",WP11630.1.9,55.84661
Armenia,ARM,"ATM is main mode of withdrawal, male (% with an account, age 15+)",WP11630.1.2,61.64609
Armenia,ARM,"ATM is main mode of withdrawal, older adults (% with an account, age 25+)",WP11630.1.5,52.08707
Armenia,ARM,"ATM is main mode of withdrawal, primary education or less (% with an account, age 15+)",WP11630.1.6,60.84853
Armenia,ARM,"ATM is main mode of withdrawal, rural (% with an account, age 15+)",WP11630.1.10,49.64201
Armenia,ARM,"ATM is main mode of withdrawal, secondary education or more (% with an account, age 15+)",WP11630.1.7,54.88566
Armenia,ARM,"ATM is main mode of withdrawal, urban (% with an account, age 15+)",WP11630.1.11,61.48342
Armenia,ARM,"ATM is main mode of withdrawal, young adults (% with an account, age 15-24)",WP11630.1.4,69.73969
Australia,AUS,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,4.020435
Australia,AUS,"ATM is main mode of deposit, female (% with an account, age 15+)",WP11631.1.3,5.673686
Australia,AUS,"ATM is main mode of deposit, income, bottom 40% (% with an account, age 15+)",WP11631.1.8,2.923996
Australia,AUS,"ATM is main mode of deposit, income, top 60% (% with an account, age 15+)",WP11631.1.9,4.632967
Australia,AUS,"ATM is main mode of deposit, male (% with an account, age 15+)",WP11631.1.2,2.17914
Australia,AUS,"ATM is main mode of deposit, older adults (% with an account, age 25+)",WP11631.1.5,3.551831
Australia,AUS,"ATM is main mode of deposit, primary education or less (% with an account, age 15+)",WP11631.1.6,0
Australia,AUS,"ATM is main mode of deposit, rural (% with an account, age 15+)",WP11631.1.10,3.72831
Australia,AUS,"ATM is main mode of deposit, secondary education or more (% with an account, age 15+)",WP11631.1.7,4.09018
Australia,AUS,"ATM is main mode of deposit, urban (% with an account, age 15+)",WP11631.1.11,4.112478
Australia,AUS,"ATM is main mode of deposit, young adults (% with an account, age 15-24)",WP11631.1.4,6.805654
Australia,AUS,"ATM is main mode of withdrawal  (% with an account, age 15+)",WP11630.1.1,68.50222
Australia,AUS,"ATM is main mode of withdrawal, female (% with an account, age 15+)",WP11630.1.3,64.29494
Australia,AUS,"ATM is main mode of withdrawal, income, bottom 40% (% with an account, age 15+)",WP11630.1.8,59.86386
Australia,AUS,"ATM is main mode of withdrawal, income, top 60% (% with an account, age 15+)",WP11630.1.9,73.34166
Australia,AUS,"ATM is main mode of withdrawal, male (% with an account, age 15+)",WP11630.1.2,73.17207
Australia,AUS,"ATM is main mode of withdrawal, older adults (% with an account, age 25+)",WP11630.1.5,66.92346
Australia,AUS,"ATM is main mode of withdrawal, primary education or less (% with an account, age 15+)",WP11630.1.6,53.76797
Australia,AUS,"ATM is main mode of withdrawal, rural (% with an account, age 15+)",WP11630.1.10,59.48244
Australia,AUS,"ATM is main mode of withdrawal, secondary education or more (% with an account, age 15+)",WP11630.1.7,69.16653
Australia,AUS,"ATM is main mode of withdrawal, urban (% with an account, age 15+)",WP11630.1.11,70.87693
Australia,AUS,"ATM is main mode of withdrawal, young adults (% with an account, age 15-24)",WP11630.1.4,78.98838
Austria,AUT,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,9.493212
Austria,AUT,"ATM is main mode of deposit, female (% with an account, age 15+)",WP11631.1.3,8.960668
Austria,AUT,"ATM is main mode of deposit, income, bottom 40% (% with an account, age 15+)",WP11631.1.8,7.537152
Austria,AUT,"ATM is main mode of deposit, income, top 60% (% with an account, age 15+)",WP11631.1.9,10.77299
Austria,AUT,"ATM is main mode of deposit, male (% with an account, age 15+)",WP11631.1.2,10.15788
Austria,AUT,"ATM is main mode of deposit, older adults (% with an account, age 25+)",WP11631.1.5,9.885077
Austria,AUT,"ATM is main mode of deposit, primary education or less (% with an account, age 15+)",WP11631.1.6,18.51447
Austria,AUT,"ATM is main mode of deposit, rural (% with an account, age 15+)",WP11631.1.10,8.847764
Austria,AUT,"ATM is main mode of deposit, secondary education or more (% with an account, age 15+)",WP11631.1.7,9.204172
Austria,AUT,"ATM is main mode of deposit, urban (% with an account, age 15+)",WP11631.1.11,10.25746
Austria,AUT,"ATM is main mode of deposit, young adults (% with an account, age 15-24)",WP11631.1.4,5.687939
Austria,AUT,"ATM is main mode of withdrawal  (% with an account, age 15+)",WP11630.1.1,76.71346
Austria,AUT,"ATM is main mode of withdrawal, female (% with an account, age 15+)",WP11630.1.3,72.97906
Austria,AUT,"ATM is main mode of withdrawal, income, bottom 40% (% with an account, age 15+)",WP11630.1.8,66.96804
Austria,AUT,"ATM is main mode of withdrawal, income, top 60% (% with an account, age 15+)",WP11630.1.9,83.08952
Austria,AUT,"ATM is main mode of withdrawal, male (% with an account, age 15+)",WP11630.1.2,81.3744
Austria,AUT,"ATM is main mode of withdrawal, older adults (% with an account, age 25+)",WP11630.1.5,75.91103
Austria,AUT,"ATM is main mode of withdrawal, primary education or less (% with an account, age 15+)",WP11630.1.6,79.33479
Austria,AUT,"ATM is main mode of withdrawal, rural (% with an account, age 15+)",WP11630.1.10,78.34181
Austria,AUT,"ATM is main mode of withdrawal, secondary education or more (% with an account, age 15+)",WP11630.1.7,76.42486
Austria,AUT,"ATM is main mode of withdrawal, urban (% with an account, age 15+)",WP11630.1.11,74.09415
Austria,AUT,"ATM is main mode of withdrawal, young adults (% with an account, age 15-24)",WP11630.1.4,82.04349
Azerbaijan,AZE,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,12.69338
Azerbaijan,AZE,"ATM is main mode of deposit, female (% with an account, age 15+)",WP11631.1.3,8.163604
Azerbaijan,AZE,"ATM is main mode of deposit, income, bottom 40% (% with an account, age 15+)",WP11631.1.8,8.720342
Azerbaijan,AZE,"ATM is main mode of deposit, income, top 60% (% with an account, age 15+)",WP11631.1.9,14.7648
Azerbaijan,AZE,"ATM is main mode of deposit, male (% with an account, age 15+)",WP11631.1.2,17.26392
Azerbaijan,AZE,"ATM is main mode of deposit, older adults (% with an account, age 25+)",WP11631.1.5,11.86147
Azerbaijan,AZE,"ATM is main mode of deposit, primary education or less (% with an account, age 15+)",WP11631.1.6,11.69074
Azerbaijan,AZE,"ATM is main mode of deposit, rural (% with an account, age 15+)",WP11631.1.10,8.412985
Azerbaijan,AZE,"ATM is main mode of deposit, secondary education or more (% with an account, age 15+)",WP11631.1.7,12.85273
Azerbaijan,AZE,"ATM is main mode of deposit, urban (% with an account, age 15+)",WP11631.1.11,19.54886
Azerbaijan,AZE,"ATM is main mode of deposit, young adults (% with an account, age 15-24)",WP11631.1.4,20.17143
Azerbaijan,AZE,"ATM is main mode of withdrawal  (% with an account, age 15+)",WP11630.1.1,88.22781
Azerbaijan,AZE,"ATM is main mode of withdrawal, female (% with an account, age 15+)",WP11630.1.3,87.38776
Azerbaijan,AZE,"ATM is main mode of withdrawal, income, bottom 40% (% with an account, age 15+)",WP11630.1.8,83.02229
Azerbaijan,AZE,"ATM is main mode of withdrawal, income, top 60% (% with an account, age 15+)",WP11630.1.9,91.19684
Azerbaijan,AZE,"ATM is main mode of withdrawal, male (% with an account, age 15+)",WP11630.1.2,89.08311
Azerbaijan,AZE,"ATM is main mode of withdrawal, older adults (% with an account, age 25+)",WP11630.1.5,87.67052
Azerbaijan,AZE,"ATM is main mode of withdrawal, primary education or less (% with an account, age 15+)",WP11630.1.6,93.66599
Azerbaijan,AZE,"ATM is main mode of withdrawal, rural (% with an account, age 15+)",WP11630.1.10,87.85278
Azerbaijan,AZE,"ATM is main mode of withdrawal, secondary education or more (% with an account, age 15+)",WP11630.1.7,87.41849
Azerbaijan,AZE,"ATM is main mode of withdrawal, urban (% with an account, age 15+)",WP11630.1.11,88.85037
Azerbaijan,AZE,"ATM is main mode of withdrawal, young adults (% with an account, age 15-24)",WP11630.1.4,94.74483
Cambodia,KHM,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,0
Cambodia,KHM,"ATM is main mode of deposit, female (% with an account, age 15+)",WP11631.1.3,
Cambodia,KHM,"ATM is main mode of deposit, income, bottom 40% (% with an account, age 15+)",WP11631.1.8,
Cambodia,KHM,"ATM is main mode of deposit, income, top 60% (% with an account, age 15+)",WP11631.1.9,
Cambodia,KHM,"ATM is main mode of deposit, male (% with an account, age 15+)",WP11631.1.2,
Cambodia,KHM,"ATM is main mode of deposit, older adults (% with an account, age 25+)",WP11631.1.5,
Cambodia,KHM,"ATM is main mode of deposit, primary education or less (% with an account, age 15+)",WP11631.1.6,
Cambodia,KHM,"ATM is main mode of deposit, rural (% with an account, age 15+)",WP11631.1.10,
Cambodia,KHM,"ATM is main mode of deposit, secondary education or more (% with an account, age 15+)",WP11631.1.7,
Cambodia,KHM,"ATM is main mode of deposit, urban (% with an account, age 15+)",WP11631.1.11,
Cambodia,KHM,"ATM is main mode of deposit, young adults (% with an account, age 15-24)",WP11631.1.4,
Cambodia,KHM,"ATM is main mode of withdrawal  (% with an account, age 15+)",WP11630.1.1,34.98191
Cambodia,KHM,"ATM is main mode of withdrawal, female (% with an account, age 15+)",WP11630.1.3,
Cambodia,KHM,"ATM is main mode of withdrawal, income, bottom 40% (% with an account, age 15+)",WP11630.1.8,
Cambodia,KHM,"ATM is main mode of withdrawal, income, top 60% (% with an account, age 15+)",WP11630.1.9,
Cambodia,KHM,"ATM is main mode of withdrawal, male (% with an account, age 15+)",WP11630.1.2,
Cambodia,KHM,"ATM is main mode of withdrawal, older adults (% with an account, age 25+)",WP11630.1.5,
Cambodia,KHM,"ATM is main mode of withdrawal, primary education or less (% with an account, age 15+)",WP11630.1.6,
Cambodia,KHM,"ATM is main mode of withdrawal, rural (% with an account, age 15+)",WP11630.1.10,
Cambodia,KHM,"ATM is main mode of withdrawal, secondary education or more (% with an account, age 15+)",WP11630.1.7,
Cambodia,KHM,"ATM is main mode of withdrawal, urban (% with an account, age 15+)",WP11630.1.11,
Cambodia,KHM,"ATM is main mode of withdrawal, young adults (% with an account, age 15-24)",WP11630.1.4,
Cameroon,CMR,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,1.10797
